Type,Seed,"Parameters (Number of features, Tolerance, Iterations, Ten Fold)",Accuracy,Precision,F_Score,Recall,ROC_Area,TP Rate,FP Rate,Confusion_Matrix,Classification_Report
MLP,818,"[9690, 0.1, 1000, (50,)]",0.228482972,0.057550227,0.088364664,0.228482972,0.592073606,"[0.         0.99504505 0.00222222 0.         0.         0.
 0.         0.         0.         0.        ]","[0.         0.9562249  0.04475806 0.         0.         0.
 0.         0.         0.         0.        ]","[[   0  210    0    0    0    0    0    0    0    0]
 [   0 2209   11    0    0    0    0    0    0    0]
 [   0 2245    5    0    0    0    0    0    0    0]
 [   0 1352   58    0    0    0    0    0    0    0]
 [   0 1776  204    0    0    0    0    0    0    0]
 [   0  180   30    0    0    0    0    0    0    0]
 [   0  337   23    0    0    0    0    0    0    0]
 [   0  240    0    0    0    0    0    0    0    0]
 [   0  533    7    0    0    0    0    0    0    0]
 [   0  270    0    0    0    0    0    0    0    0]]","              precision    recall  f1-score   support

           0       0.00      0.00      0.00       210
           1       0.24      1.00      0.38      2220
           2       0.01      0.00      0.00      2250
           3       0.00      0.00      0.00      1410
           4       0.00      0.00      0.00      1980
           5       0.00      0.00      0.00       210
           6       0.00      0.00      0.00       360
           7       0.00      0.00      0.00       240
           8       0.00      0.00      0.00       540
           9       0.00      0.00      0.00       270

    accuracy                           0.23      9690
   macro avg       0.03      0.10      0.04      9690
weighted avg       0.06      0.23      0.09      9690
"
MLP,818,"[5, 0.1, 1000, (50,)]",0.252321981,0.118396342,0.160378038,0.252321981,0.387446315,"[0.         0.52657658 0.56711111 0.         0.         0.
 0.         0.         0.         0.        ]","[0.         0.39089692 0.5813172  0.         0.         0.
 0.         0.         0.         0.        ]","[[   0  125   85    0    0    0    0    0    0    0]
 [   0 1169 1051    0    0    0    0    0    0    0]
 [   0  974 1276    0    0    0    0    0    0    0]
 [   0  154 1256    0    0    0    0    0    0    0]
 [   0  628 1352    0    0    0    0    0    0    0]
 [   0  137   73    0    0    0    0    0    0    0]
 [   0   75  285    0    0    0    0    0    0    0]
 [   0  201   39    0    0    0    0    0    0    0]
 [   0  415  125    0    0    0    0    0    0    0]
 [   0  211   59    0    0    0    0    0    0    0]]","              precision    recall  f1-score   support

           0       0.00      0.00      0.00       210
           1       0.29      0.53      0.37      2220
           2       0.23      0.57      0.33      2250
           3       0.00      0.00      0.00      1410
           4       0.00      0.00      0.00      1980
           5       0.00      0.00      0.00       210
           6       0.00      0.00      0.00       360
           7       0.00      0.00      0.00       240
           8       0.00      0.00      0.00       540
           9       0.00      0.00      0.00       270

    accuracy                           0.25      9690
   macro avg       0.05      0.11      0.07      9690
weighted avg       0.12      0.25      0.16      9690
"
MLP,818,"[10, 0.1, 1000, (50,)]",0.250464396,0.119000013,0.149580313,0.250464396,0.518240312,"[0.         0.27387387 0.80844444 0.         0.         0.
 0.         0.         0.         0.        ]","[0.         0.21767068 0.75766129 0.         0.         0.
 0.         0.         0.         0.        ]","[[   0   68  142    0    0    0    0    0    0    0]
 [   0  608 1612    0    0    0    0    0    0    0]
 [   0  431 1819    0    0    0    0    0    0    0]
 [   0   73 1337    0    0    0    0    0    0    0]
 [   0  225 1755    0    0    0    0    0    0    0]
 [   0  128   82    0    0    0    0    0    0    0]
 [   0   28  332    0    0    0    0    0    0    0]
 [   0  153   87    0    0    0    0    0    0    0]
 [   0  383  157    0    0    0    0    0    0    0]
 [   0  137  133    0    0    0    0    0    0    0]]","              precision    recall  f1-score   support

           0       0.00      0.00      0.00       210
           1       0.27      0.27      0.27      2220
           2       0.24      0.81      0.37      2250
           3       0.00      0.00      0.00      1410
           4       0.00      0.00      0.00      1980
           5       0.00      0.00      0.00       210
           6       0.00      0.00      0.00       360
           7       0.00      0.00      0.00       240
           8       0.00      0.00      0.00       540
           9       0.00      0.00      0.00       270

    accuracy                           0.25      9690
   macro avg       0.05      0.11      0.06      9690
weighted avg       0.12      0.25      0.15      9690
"
MLP,818,"[20, 0.1, 1000, (50,)]",0.229102167,0.052487803,0.085408365,0.229102167,0.402175112,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"[[   0  210    0    0    0    0    0    0    0    0]
 [   0 2220    0    0    0    0    0    0    0    0]
 [   0 2250    0    0    0    0    0    0    0    0]
 [   0 1410    0    0    0    0    0    0    0    0]
 [   0 1980    0    0    0    0    0    0    0    0]
 [   0  210    0    0    0    0    0    0    0    0]
 [   0  360    0    0    0    0    0    0    0    0]
 [   0  240    0    0    0    0    0    0    0    0]
 [   0  540    0    0    0    0    0    0    0    0]
 [   0  270    0    0    0    0    0    0    0    0]]","              precision    recall  f1-score   support

           0       0.00      0.00      0.00       210
           1       0.23      1.00      0.37      2220
           2       0.00      0.00      0.00      2250
           3       0.00      0.00      0.00      1410
           4       0.00      0.00      0.00      1980
           5       0.00      0.00      0.00       210
           6       0.00      0.00      0.00       360
           7       0.00      0.00      0.00       240
           8       0.00      0.00      0.00       540
           9       0.00      0.00      0.00       270

    accuracy                           0.23      9690
   macro avg       0.02      0.10      0.04      9690
weighted avg       0.05      0.23      0.09      9690
"
MLP,818,"[50, 0.1, 1000, (50,)]",0.229102167,0.052487803,0.085408365,0.229102167,0.458780593,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"[[   0  210    0    0    0    0    0    0    0    0]
 [   0 2220    0    0    0    0    0    0    0    0]
 [   0 2250    0    0    0    0    0    0    0    0]
 [   0 1410    0    0    0    0    0    0    0    0]
 [   0 1980    0    0    0    0    0    0    0    0]
 [   0  210    0    0    0    0    0    0    0    0]
 [   0  360    0    0    0    0    0    0    0    0]
 [   0  240    0    0    0    0    0    0    0    0]
 [   0  540    0    0    0    0    0    0    0    0]
 [   0  270    0    0    0    0    0    0    0    0]]","              precision    recall  f1-score   support

           0       0.00      0.00      0.00       210
           1       0.23      1.00      0.37      2220
           2       0.00      0.00      0.00      2250
           3       0.00      0.00      0.00      1410
           4       0.00      0.00      0.00      1980
           5       0.00      0.00      0.00       210
           6       0.00      0.00      0.00       360
           7       0.00      0.00      0.00       240
           8       0.00      0.00      0.00       540
           9       0.00      0.00      0.00       270

    accuracy                           0.23      9690
   macro avg       0.02      0.10      0.04      9690
weighted avg       0.05      0.23      0.09      9690
"
MLP,818,"[200, 0.1, 1000, (50,)]",0.232198142,0.053915977,0.087511863,0.232198142,0.508426108,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],"[[   0    0  210    0    0    0    0    0    0    0]
 [   0    0 2220    0    0    0    0    0    0    0]
 [   0    0 2250    0    0    0    0    0    0    0]
 [   0    0 1410    0    0    0    0    0    0    0]
 [   0    0 1980    0    0    0    0    0    0    0]
 [   0    0  210    0    0    0    0    0    0    0]
 [   0    0  360    0    0    0    0    0    0    0]
 [   0    0  240    0    0    0    0    0    0    0]
 [   0    0  540    0    0    0    0    0    0    0]
 [   0    0  270    0    0    0    0    0    0    0]]","              precision    recall  f1-score   support

           0       0.00      0.00      0.00       210
           1       0.00      0.00      0.00      2220
           2       0.23      1.00      0.38      2250
           3       0.00      0.00      0.00      1410
           4       0.00      0.00      0.00      1980
           5       0.00      0.00      0.00       210
           6       0.00      0.00      0.00       360
           7       0.00      0.00      0.00       240
           8       0.00      0.00      0.00       540
           9       0.00      0.00      0.00       270

    accuracy                           0.23      9690
   macro avg       0.02      0.10      0.04      9690
weighted avg       0.05      0.23      0.09      9690
"
MLP,818,"[500, 0.1, 1000, (50,)]",0.212280702,0.09798105,0.134076564,0.212280702,0.492619907,"[0.         0.3963964  0.52311111 0.         0.         0.
 0.         0.         0.         0.        ]","[0.         0.52904953 0.49475806 0.         0.         0.
 0.         0.         0.         0.        ]","[[   0   39  171    0    0    0    0    0    0    0]
 [   0  880 1340    0    0    0    0    0    0    0]
 [   0 1073 1177    0    0    0    0    0    0    0]
 [   0  944  466    0    0    0    0    0    0    0]
 [   0 1159  821    0    0    0    0    0    0    0]
 [   0   96  114    0    0    0    0    0    0    0]
 [   0  264   96    0    0    0    0    0    0    0]
 [   0   58  182    0    0    0    0    0    0    0]
 [   0  181  359    0    0    0    0    0    0    0]
 [   0  138  132    0    0    0    0    0    0    0]]","              precision    recall  f1-score   support

           0       0.00      0.00      0.00       210
           1       0.18      0.40      0.25      2220
           2       0.24      0.52      0.33      2250
           3       0.00      0.00      0.00      1410
           4       0.00      0.00      0.00      1980
           5       0.00      0.00      0.00       210
           6       0.00      0.00      0.00       360
           7       0.00      0.00      0.00       240
           8       0.00      0.00      0.00       540
           9       0.00      0.00      0.00       270

    accuracy                           0.21      9690
   macro avg       0.04      0.09      0.06      9690
weighted avg       0.10      0.21      0.13      9690
"
MLP,818,"[9690, 0.1, 1000, (50,)]",0.23126935,0.070012918,0.0929163,0.23126935,0.57630285,"[0.        0.9972973 0.012     0.        0.        0.        0.
 0.        0.        0.       ]","[0.         0.94618474 0.05120968 0.         0.         0.
 0.         0.         0.         0.        ]","[[   0  210    0    0    0    0    0    0    0    0]
 [   0 2214    6    0    0    0    0    0    0    0]
 [   0 2223   27    0    0    0    0    0    0    0]
 [   0 1344   66    0    0    0    0    0    0    0]
 [   0 1723  257    0    0    0    0    0    0    0]
 [   0  180   30    0    0    0    0    0    0    0]
 [   0  340   20    0    0    0    0    0    0    0]
 [   0  240    0    0    0    0    0    0    0    0]
 [   0  538    2    0    0    0    0    0    0    0]
 [   0  270    0    0    0    0    0    0    0    0]]","              precision    recall  f1-score   support

           0       0.00      0.00      0.00       210
           1       0.24      1.00      0.38      2220
           2       0.07      0.01      0.02      2250
           3       0.00      0.00      0.00      1410
           4       0.00      0.00      0.00      1980
           5       0.00      0.00      0.00       210
           6       0.00      0.00      0.00       360
           7       0.00      0.00      0.00       240
           8       0.00      0.00      0.00       540
           9       0.00      0.00      0.00       270

    accuracy                           0.23      9690
   macro avg       0.03      0.10      0.04      9690
weighted avg       0.07      0.23      0.09      9690
"
MLP,818,"[5, 0.1, 1000, (50,)]",0.252012384,0.11800478,0.160044114,0.252012384,0.392888017,"[0.         0.52657658 0.56577778 0.         0.         0.
 0.         0.         0.         0.        ]","[0.         0.39651941 0.57607527 0.         0.         0.
 0.         0.         0.         0.        ]","[[   0  129   81    0    0    0    0    0    0    0]
 [   0 1169 1051    0    0    0    0    0    0    0]
 [   0  977 1273    0    0    0    0    0    0    0]
 [   0  164 1246    0    0    0    0    0    0    0]
 [   0  642 1338    0    0    0    0    0    0    0]
 [   0  135   75    0    0    0    0    0    0    0]
 [   0   72  288    0    0    0    0    0    0    0]
 [   0  208   32    0    0    0    0    0    0    0]
 [   0  418  122    0    0    0    0    0    0    0]
 [   0  217   53    0    0    0    0    0    0    0]]","              precision    recall  f1-score   support

           0       0.00      0.00      0.00       210
           1       0.28      0.53      0.37      2220
           2       0.23      0.57      0.33      2250
           3       0.00      0.00      0.00      1410
           4       0.00      0.00      0.00      1980
           5       0.00      0.00      0.00       210
           6       0.00      0.00      0.00       360
           7       0.00      0.00      0.00       240
           8       0.00      0.00      0.00       540
           9       0.00      0.00      0.00       270

    accuracy                           0.25      9690
   macro avg       0.05      0.11      0.07      9690
weighted avg       0.12      0.25      0.16      9690
"
MLP,818,"[10, 0.1, 1000, (50,)]",0.247987616,0.117225296,0.147989658,0.247987616,0.517436401,"[0.         0.27162162 0.8        0.         0.         0.
 0.         0.         0.         0.        ]","[0.         0.22289157 0.75564516 0.         0.         0.
 0.         0.         0.         0.        ]","[[   0   70  140    0    0    0    0    0    0    0]
 [   0  603 1617    0    0    0    0    0    0    0]
 [   0  450 1800    0    0    0    0    0    0    0]
 [   0   75 1335    0    0    0    0    0    0    0]
 [   0  235 1745    0    0    0    0    0    0    0]
 [   0  130   80    0    0    0    0    0    0    0]
 [   0   26  334    0    0    0    0    0    0    0]
 [   0  152   88    0    0    0    0    0    0    0]
 [   0  384  156    0    0    0    0    0    0    0]
 [   0  143  127    0    0    0    0    0    0    0]]","              precision    recall  f1-score   support

           0       0.00      0.00      0.00       210
           1       0.27      0.27      0.27      2220
           2       0.24      0.80      0.37      2250
           3       0.00      0.00      0.00      1410
           4       0.00      0.00      0.00      1980
           5       0.00      0.00      0.00       210
           6       0.00      0.00      0.00       360
           7       0.00      0.00      0.00       240
           8       0.00      0.00      0.00       540
           9       0.00      0.00      0.00       270

    accuracy                           0.25      9690
   macro avg       0.05      0.11      0.06      9690
weighted avg       0.12      0.25      0.15      9690
"
