,0,1,2,3,4,5,6,7,8,9,10,11
0,Type,Seed,"Parameters (Task, Number of features, Tolerance, Iterations, Ten Fold)",Accuracy,Precision,F_Score,Recall,ROC_Area,TP Rate,FP Rate,Confusion_Matrix,Classification_Report
0,MLP,818,"[4, 2304, 0.001, 1000, (50,), False]",0.8641748942172073,0.8652699994793953,0.8637252534396691,0.8641748942172073,0.9634035784103635,"[0.58156028 0.89637953 0.88438617 0.82797732 0.88718291 0.87162162
 0.83817427 0.67283951 0.83879781 0.88265306]","[0.0050367  0.04774052 0.04988914 0.02320955 0.01788269 0.00259291
 0.00788436 0.00216513 0.00431291 0.00580215]","[[  82   26    0    7   25    0    1    0    0    0]
 [  13 1436   87   25   34    2    2    1    0    2]
 [   1  124 1484   34   26    1    4    0    0    4]
 [   0   12  153  876    9    1    7    0    0    0]
 [  17   60   21   60 1329    6    1    0    1    3]
 [   0    0    1    0    2  129    7    2    3    4]
 [   3    6    1    9    4    0  202    0   11    5]
 [   0   31    1    0    0    3    4  109    6    8]
 [   1    1    3    3    0    3   25    9  307   14]
 [   0    2    3    2    0    2    3    3    8  173]]","              precision    recall  f1-score   support

           0       0.70      0.58      0.64       141
           1       0.85      0.90      0.87      1602
           2       0.85      0.88      0.86      1678
           3       0.86      0.83      0.84      1058
           4       0.93      0.89      0.91      1498
           5       0.88      0.87      0.87       148
           6       0.79      0.84      0.81       241
           7       0.88      0.67      0.76       162
           8       0.91      0.84      0.87       366
           9       0.81      0.88      0.85       196

    accuracy                           0.86      7090
   macro avg       0.85      0.82      0.83      7090
weighted avg       0.87      0.86      0.86      7090
"
0,MLP,818,"[4, 5, 0.001, 1000, (50,), False]",0.3617771509167842,0.36206958711426207,0.35523463935039074,0.3617771509167842,0.78115593710761,"[0.         0.43830571 0.39255702 0.303207   0.35202703 0.07894737
 0.268      0.08928571 0.53263708 0.35106383]","[0.00115191 0.20637246 0.27452065 0.13281637 0.11176471 0.00288268
 0.01345029 0.00635654 0.02981959 0.01637207]","[[  0  55  69  11   8   0   0   0   0   2]
 [  2 714 607 184  69   0   4   0  33  16]
 [  1 508 654 305 164   1  12   3  15   3]
 [  0 126 273 312 303   0   4   1   2   8]
 [  2 257 412 262 521   0   6   2   9   9]
 [  1  10  15  14  35  12   9   7  38  11]
 [  2  32  39  12  29   6  67  14  32  17]
 [  0  54  24   1   3   5  13  15  47   6]
 [  0  39  35  14   5   6  31   8 204  41]
 [  0  46  15   2  11   2  13   9  24  66]]","              precision    recall  f1-score   support

           0       0.00      0.00      0.00       145
           1       0.39      0.44      0.41      1629
           2       0.31      0.39      0.34      1666
           3       0.28      0.30      0.29      1029
           4       0.45      0.35      0.40      1480
           5       0.38      0.08      0.13       152
           6       0.42      0.27      0.33       250
           7       0.25      0.09      0.13       168
           8       0.50      0.53      0.52       383
           9       0.37      0.35      0.36       188

    accuracy                           0.36      7090
   macro avg       0.34      0.28      0.29      7090
weighted avg       0.36      0.36      0.36      7090
"
0,MLP,818,"[4, 10, 0.001, 1000, (50,), False]",0.4840620592383639,0.47841477798324916,0.4750525485947383,0.4840620592383639,0.833078880978871,"[0.01960784 0.57332529 0.40952381 0.48664688 0.56949153 0.13907285
 0.33333333 0.35220126 0.64402174 0.33168317]","[0.00418048 0.2155347  0.14380776 0.07040632 0.12983081 0.00288226
 0.01429405 0.0118309  0.03391848 0.0137921 ]","[[  3  76  42   8  22   0   0   0   0   2]
 [ 17 950 335  88 196   2  12  17  27  13]
 [  7 543 688 160 229   0  13   2  28  10]
 [  1 146 144 492 200   0  10   4   7   7]
 [  2 278 186 152 840   1   7   0   6   3]
 [  0   7  11   0  39  21   7   4  49  13]
 [  0  25  15  17  22   9  78  13  27  28]
 [  1  28  20   0   4   3  13  56  30   4]
 [  0  39  15   2  15   3  21  21 237  15]
 [  1  29  10   1   2   2  15  21  54  67]]","              precision    recall  f1-score   support

           0       0.09      0.02      0.03       153
           1       0.45      0.57      0.50      1657
           2       0.47      0.41      0.44      1680
           3       0.53      0.49      0.51      1011
           4       0.54      0.57      0.55      1475
           5       0.51      0.14      0.22       151
           6       0.44      0.33      0.38       234
           7       0.41      0.35      0.38       159
           8       0.51      0.64      0.57       368
           9       0.41      0.33      0.37       202

    accuracy                           0.48      7090
   macro avg       0.44      0.39      0.39      7090
weighted avg       0.48      0.48      0.48      7090
"
0,MLP,818,"[4, 20, 0.001, 1000, (50,), False]",0.6214386459802539,0.6173453657950697,0.6171435344926963,0.6214386459802539,0.9106393358651859,"[0.10273973 0.63434219 0.59785842 0.64265403 0.72469636 0.25517241
 0.45528455 0.53416149 0.67857143 0.65445026]","[0.00835253 0.13306525 0.11869107 0.04855012 0.09593438 0.0087833
 0.00715956 0.01183432 0.02378828 0.01058124]","[[  15   86    6    0   39    0    0    0    0    0]
 [  35 1027  246   45  243    7    2    5    8    1]
 [   8  308 1005  171  158   11    5    3   10    2]
 [   5  100  203  678   58    2    5    0    0    4]
 [   6  200  129   55 1074    1    5    4    2    6]
 [   0    5    7    5   31   37    7    6   45    2]
 [   2   11   19   13    2   18  112   14   36   19]
 [   2   10    4    0    5    3    3   86   41    7]
 [   0    7   20    3    1   15   20   19  247   32]
 [   0    1    8    1    1    4    2   31   18  125]]","              precision    recall  f1-score   support

           0       0.21      0.10      0.14       146
           1       0.59      0.63      0.61      1619
           2       0.61      0.60      0.60      1681
           3       0.70      0.64      0.67      1055
           4       0.67      0.72      0.69      1482
           5       0.38      0.26      0.30       145
           6       0.70      0.46      0.55       246
           7       0.51      0.53      0.52       161
           8       0.61      0.68      0.64       364
           9       0.63      0.65      0.64       191

    accuracy                           0.62      7090
   macro avg       0.56      0.53      0.54      7090
weighted avg       0.62      0.62      0.62      7090
"
0,MLP,818,"[4, 50, 0.001, 1000, (50,), False]",0.764033850493653,0.7617944540960504,0.7620528069091039,0.764033850493653,0.945131881745593,"[0.43918919 0.77333333 0.81912302 0.78431373 0.80013414 0.49342105
 0.63404255 0.49112426 0.77979275 0.65989848]","[0.00619418 0.071875   0.07452276 0.04036244 0.04786569 0.00850389
 0.01021152 0.00664644 0.01431981 0.00710866]","[[  65   63    2    0   15    0    0    1    2    0]
 [  32 1276  130   21  161    6    8    2    8    6]
 [   2   68 1345  160   46    3    5    2    5    6]
 [   0   33  164  800    5    1   11    0    2    4]
 [   7  189   49   18 1193   17    7    3    4    4]
 [   0    2    8    8   25   75   16    2   14    2]
 [   2   14    7    6    6    2  149   30   14    5]
 [   0   16    8   19    2    2    8   83   31    0]
 [   0    3   18    9    5   17    7    4  301   22]
 [   0    3   20    4    3   11    8    2   16  130]]","              precision    recall  f1-score   support

           0       0.60      0.44      0.51       148
           1       0.77      0.77      0.77      1650
           2       0.77      0.82      0.79      1642
           3       0.77      0.78      0.77      1020
           4       0.82      0.80      0.81      1491
           5       0.56      0.49      0.52       152
           6       0.68      0.63      0.66       235
           7       0.64      0.49      0.56       169
           8       0.76      0.78      0.77       386
           9       0.73      0.66      0.69       197

    accuracy                           0.76      7090
   macro avg       0.71      0.67      0.69      7090
weighted avg       0.76      0.76      0.76      7090
"
0,MLP,818,"[4, 200, 0.001, 1000, (50,), False]",0.8105782792665727,0.8145621751875173,0.8109359958032806,0.8105782792665727,0.9648267696049064,"[0.66197183 0.85473815 0.81009615 0.77121068 0.84615385 0.87142857
 0.81818182 0.65060241 0.71688312 0.77102804]","[0.00460564 0.07491797 0.07777368 0.02449926 0.0207328  0.00503597
 0.00554017 0.00722126 0.00760626 0.00581734]","[[  94   22    1    0   20    1    0    0    3    1]
 [  19 1371  121   21   54    5    0    0   11    2]
 [   5  212 1348   53   24    1    6    7    3    5]
 [   0   15  210  809    8    0    2    1    4    0]
 [   4  116   37   58 1265    5    2    1    2    5]
 [   0    4    3    2    5  122    0    3    1    0]
 [   1    8   11    6    3    1  189    2    8    2]
 [   0   15    4    0    0    2   23  108   13    1]
 [   3   14   16    4    2    8    3   35  276   24]
 [   0    5   19    4    0   12    2    1    6  165]]","              precision    recall  f1-score   support

           0       0.75      0.66      0.70       142
           1       0.77      0.85      0.81      1604
           2       0.76      0.81      0.79      1664
           3       0.85      0.77      0.81      1049
           4       0.92      0.85      0.88      1495
           5       0.78      0.87      0.82       140
           6       0.83      0.82      0.83       231
           7       0.68      0.65      0.67       166
           8       0.84      0.72      0.78       385
           9       0.80      0.77      0.79       214

    accuracy                           0.81      7090
   macro avg       0.80      0.78      0.79      7090
weighted avg       0.81      0.81      0.81      7090
"
0,MLP,818,"[4, 500, 0.001, 1000, (50,), False]",0.8114245416078985,0.8116780394245754,0.8101362265789481,0.8114245416078985,0.9482271376547219,"[0.48979592 0.81261261 0.78145304 0.8814741  0.89440994 0.55
 0.71984436 0.71612903 0.79624665 0.74396135]","[0.00446493 0.04552995 0.06540671 0.04304962 0.0388229  0.00805755
 0.00380506 0.00547945 0.00759268 0.00784542]","[[  72   38    3    0   31    0    2    0    1    0]
 [  13 1353  188   24   59    0    4    8    3   13]
 [   2   95 1323  206   47    4    4    6    3    3]
 [   0    9   79  885   12    4    5    0    5    5]
 [  12   61   60   14 1296    3    0    1    1    1]
 [   0    0    4    0   55   77    2    1    1    0]
 [   2    2    3    4    0   38  185    5    4   14]
 [   0   28    2    3    2    2    5  111    2    0]
 [   2    8    8    9    5    5    4   17  297   18]
 [   0    6    6    2    8    0    0    0   31  154]]","              precision    recall  f1-score   support

           0       0.70      0.49      0.58       147
           1       0.85      0.81      0.83      1665
           2       0.79      0.78      0.79      1693
           3       0.77      0.88      0.82      1004
           4       0.86      0.89      0.87      1449
           5       0.58      0.55      0.56       140
           6       0.88      0.72      0.79       257
           7       0.74      0.72      0.73       155
           8       0.85      0.80      0.82       373
           9       0.74      0.74      0.74       207

    accuracy                           0.81      7090
   macro avg       0.78      0.74      0.75      7090
weighted avg       0.81      0.81      0.81      7090
"
0,MLP,818,"[4, 2304, 0.001, 1000, (100,), False]",0.8331452750352609,0.8373547403577554,0.8328883132377168,0.8331452750352609,0.9608444057502571,"[0.46099291 0.86766542 0.87306317 0.75708885 0.86915888 0.85135135
 0.80497925 0.62345679 0.86338798 0.75      ]","[0.00863434 0.05539359 0.0748337  0.02188329 0.01591559 0.00244886
 0.0087604  0.00057737 0.00758477 0.00884827]","[[  65   50    3    0   21    0    1    0    0    1]
 [  41 1390  109   13   40    0    2    0    3    4]
 [   2  139 1465   47   11    2    4    0    2    6]
 [   0   18  214  801    9    0    7    0    2    7]
 [  15   53   59   63 1302    0    4    0    0    2]
 [   0    0    0    0    1  126    4    3    2   12]
 [   2    9    3    5    4    0  194    0   14   10]
 [   0   31    2    0    1    6   16  101    2    3]
 [   0    3    9    3    1    3   15    0  316   16]
 [   0    1    6    1    1    6    7    1   26  147]]","              precision    recall  f1-score   support

           0       0.52      0.46      0.49       141
           1       0.82      0.87      0.84      1602
           2       0.78      0.87      0.83      1678
           3       0.86      0.76      0.80      1058
           4       0.94      0.87      0.90      1498
           5       0.88      0.85      0.87       148
           6       0.76      0.80      0.78       241
           7       0.96      0.62      0.76       162
           8       0.86      0.86      0.86       366
           9       0.71      0.75      0.73       196

    accuracy                           0.83      7090
   macro avg       0.81      0.77      0.79      7090
weighted avg       0.84      0.83      0.83      7090
"
0,MLP,818,"[4, 5, 0.001, 1000, (100,), False]",0.31791255289139636,0.30140112639256056,0.29241404389297293,0.31791255289139636,0.6894949398088196,"[0.         0.43339472 0.44057623 0.33333333 0.21486486 0.
 0.         0.         0.39947781 0.        ]","[0.         0.2981139  0.32743363 0.13413628 0.06042781 0.
 0.         0.         0.04174743 0.        ]","[[  0  78  55  11   0   0   0   0   1   0]
 [  0 706 687 112  32   0   0   0  92   0]
 [  0 576 734 226  83   0   0   0  47   0]
 [  0 145 366 343 172   0   0   0   3   0]
 [  0 311 432 403 318   0   0   0  16   0]
 [  0  42  26  19  29   0   0   0  36   0]
 [  0  98  90  28  18   0   0   0  16   0]
 [  0 106  23   1   0   0   0   0  38   0]
 [  0 150  65  12   3   0   0   0 153   0]
 [  0 122  32   1   2   0   0   0  31   0]]","              precision    recall  f1-score   support

           0       0.00      0.00      0.00       145
           1       0.30      0.43      0.36      1629
           2       0.29      0.44      0.35      1666
           3       0.30      0.33      0.31      1029
           4       0.48      0.21      0.30      1480
           5       0.00      0.00      0.00       152
           6       0.00      0.00      0.00       250
           7       0.00      0.00      0.00       168
           8       0.35      0.40      0.38       383
           9       0.00      0.00      0.00       188

    accuracy                           0.32      7090
   macro avg       0.17      0.18      0.17      7090
weighted avg       0.30      0.32      0.29      7090
"
